gene_id	gene_symbol	chrom	start	end	build	source
ENSG00000285629	ENSG00000285629	1	6159428	6197759	GRCh38	GENCODE_v50_basic
ENSG00000116251	RPL22	1	6185018	6209391	GRCh38	GENCODE_v50_basic
ENSG00000158286	RNF207	1	6205390	6224636	GRCh38	GENCODE_v50_basic
ENSG00000116237	ICMT	1	6221191	6235999	GRCh38	GENCODE_v50_basic
ENSG00000173673	HES3	1	6241479	6246658	GRCh38	GENCODE_v50_basic
ENSG00000158292	GPR153	1	6247345	6261106	GRCh38	GENCODE_v50_basic
ENSG00000097021	ACOT7	1	6264266	6393791	GRCh38	GENCODE_v50_basic
ENSG00000069812	HES2	1	6412416	6424692	GRCh38	GENCODE_v50_basic
ENSG00000187017	ESPN	1	6424768	6461369	GRCh38	GENCODE_v50_basic
ENSG00000215788	TNFRSF25	1	6460784	6466192	GRCh38	GENCODE_v50_basic
ENSG00000171680	PLEKHG5	1	6467120	6520076	GRCh38	GENCODE_v50_basic
ENSG00000162408	NOL9	1	6521345	6554538	GRCh38	GENCODE_v50_basic
ENSG00000173662	TAS1R1	1	6555301	6579757	GRCh38	GENCODE_v50_basic
ENSG00000204859	ZBTB48	1	6579992	6589292	GRCh38	GENCODE_v50_basic
ENSG00000162413	KLHL21	1	6590722	6614609	GRCh38	GENCODE_v50_basic
ENSG00000116273	PHF13	1	6613721	6624032	GRCh38	GENCODE_v50_basic
ENSG00000041988	THAP3	1	6624843	6635614	GRCh38	GENCODE_v50_basic
ENSG00000007923	DNAJC11	1	6634165	6701926	GRCh38	GENCODE_v50_basic
ENSG00000171735	CAMTA1	1	6785430	7769708	GRCh38	GENCODE_v50_basic
ENSG00000049245	VAMP3	1	7771262	7781449	GRCh38	GENCODE_v50_basic
ENSG00000049246	PER3	1	7784181	7845183	GRCh38	GENCODE_v50_basic
ENSG00000049247	UTS2	1	7843006	7853514	GRCh38	GENCODE_v50_basic
ENSG00000049249	TNFRSF9	1	7915869	7943167	GRCh38	GENCODE_v50_basic
ENSG00000116288	PARK7	1	7952652	7985993	GRCh38	GENCODE_v50_basic
ENSG00000116285	ERRFI1	1	8003194	8026320	GRCh38	GENCODE_v50_basic
ENSG00000162426	SLC45A1	1	8318079	8344298	GRCh38	GENCODE_v50_basic
ENSG00000142599	RERE	1	8352395	8848923	GRCh38	GENCODE_v50_basic
ENSG00000074800	ENO1	1	8854041	8879310	GRCh38	GENCODE_v50_basic
ENSG00000131686	CA6	1	8945865	8975094	GRCh38	GENCODE_v50_basic
ENSG00000197241	SLC2A7	1	9002971	9026425	GRCh38	GENCODE_v50_basic
ENSG00000142583	SLC2A5	1	9035104	9088480	GRCh38	GENCODE_v50_basic
ENSG00000180758	GPR157	1	9100303	9129202	GRCh38	GENCODE_v50_basic
ENSG00000049239	H6PD	1	9234737	9278219	GRCh38	GENCODE_v50_basic
ENSG00000171621	SPSB1	1	9292099	9369534	GRCh38	GENCODE_v50_basic
ENSG00000171612	SLC25A33	1	9539435	9585175	GRCh38	GENCODE_v50_basic
ENSG00000188807	TMEM201	1	9588716	9614881	GRCh38	GENCODE_v50_basic
ENSG00000171608	PIK3CD	1	9629887	9730121	GRCh38	GENCODE_v50_basic
ENSG00000171603	CLSTN1	1	9728909	9823995	GRCh38	GENCODE_v50_basic
ENSG00000178585	CTNNBIP1	1	9848267	9910380	GRCh38	GENCODE_v50_basic
ENSG00000162441	LZIC	1	9922111	9943409	GRCh38	GENCODE_v50_basic
ENSG00000173614	NMNAT1	1	9943426	9996900	GRCh38	GENCODE_v50_basic
ENSG00000162444	RBP7	1	9997048	10016024	GRCh38	GENCODE_v50_basic
ENSG00000130939	UBE4B	1	10032830	10181246	GRCh38	GENCODE_v50_basic
ENSG00000054523	KIF1B	1	10210479	10381608	GRCh38	GENCODE_v50_basic
ENSG00000142657	PGD	1	10398590	10420513	GRCh38	GENCODE_v50_basic
ENSG00000251503	CENPS-CORT	1	10430100	10452155	GRCh38	GENCODE_v50_basic
ENSG00000175279	CENPS	1	10430388	10442815	GRCh38	GENCODE_v50_basic
ENSG00000241563	CORT	1	10450008	10452085	GRCh38	GENCODE_v50_basic
ENSG00000160049	DFFA	1	10456520	10472584	GRCh38	GENCODE_v50_basic
ENSG00000142655	PEX14	1	10472286	10630760	GRCh38	GENCODE_v50_basic
ENSG00000130940	CASZ1	1	10636599	10796660	GRCh38	GENCODE_v50_basic
ENSG00000175262	CIROZ	1	10946469	10982078	GRCh38	GENCODE_v50_basic
ENSG00000120948	TARDBP	1	11012342	11037993	GRCh38	GENCODE_v50_basic
ENSG00000009724	MASP2	1	11022007	11047275	GRCh38	GENCODE_v50_basic
ENSG00000116649	SRM	1	11054582	11060080	GRCh38	GENCODE_v50_basic
ENSG00000171824	EXOSC10	1	11066611	11099909	GRCh38	GENCODE_v50_basic
ENSG00000198793	MTOR	1	11106529	11262558	GRCh38	GENCODE_v50_basic
ENSG00000171819	ANGPTL7	1	11189346	11195983	GRCh38	GENCODE_v50_basic
ENSG00000120942	UBIAD1	1	11273187	11297106	GRCh38	GENCODE_v50_basic
ENSG00000204624	DISP3	1	11478903	11537585	GRCh38	GENCODE_v50_basic
ENSG00000116661	FBXO2	1	11637016	11655787	GRCh38	GENCODE_v50_basic
ENSG00000132879	FBXO44	1	11650616	11663329	GRCh38	GENCODE_v50_basic
ENSG00000116670	MAD2L2	1	11657228	11692607	GRCh38	GENCODE_v50_basic
ENSG00000116663	FBXO6	1	11664139	11674356	GRCh38	GENCODE_v50_basic
ENSG00000162490	DRAXIN	1	11690956	11725859	GRCh38	GENCODE_v50_basic
ENSG00000177674	AGTRAP	1	11736068	11754804	GRCh38	GENCODE_v50_basic
ENSG00000215910	C1orf167	1	11761785	11789587	GRCh38	GENCODE_v50_basic
ENSG00000177000	MTHFR	1	11785721	11806457	GRCh38	GENCODE_v50_basic
ENSG00000011021	CLCN6	1	11806094	11848082	GRCh38	GENCODE_v50_basic
ENSG00000175206	NPPA	1	11845699	11848347	GRCh38	GENCODE_v50_basic
ENSG00000120937	NPPB	1	11857452	11859650	GRCh38	GENCODE_v50_basic
ENSG00000116685	KIAA2013	1	11919588	11926430	GRCh38	GENCODE_v50_basic
ENSG00000083444	PLOD1	1	11934203	11975544	GRCh38	GENCODE_v50_basic
ENSG00000116688	MFN2	1	11980179	12015213	GRCh38	GENCODE_v50_basic
ENSG00000116691	MIIP	1	12019464	12032050	GRCh38	GENCODE_v50_basic
ENSG00000120949	TNFRSF8	1	12063077	12144223	GRCh38	GENCODE_v50_basic
ENSG00000028137	TNFRSF1B	1	12166968	12209230	GRCh38	GENCODE_v50_basic
ENSG00000048707	VPS13D	1	12230005	12512049	GRCh38	GENCODE_v50_basic
ENSG00000162496	DHRS3	1	12563617	12620185	GRCh38	GENCODE_v50_basic
ENSG00000204518	AADACL4	1	12644083	12667078	GRCh38	GENCODE_v50_basic
ENSG00000188984	AADACL3	1	12716107	12728762	GRCh38	GENCODE_v50_basic
ENSG00000157330	CFAP107	1	12746192	12763701	GRCh38	GENCODE_v50_basic
ENSG00000116726	PRAMEF12	1	12773736	12777908	GRCh38	GENCODE_v50_basic
ENSG00000116721	PRAMEF1	1	12791395	12796630	GRCh38	GENCODE_v50_basic
ENSG00000239810	PRAMEF11	1	12824603	12831412	GRCh38	GENCODE_v50_basic
ENSG00000179172	HNRNPCL1	1	12847375	12848722	GRCh38	GENCODE_v50_basic
ENSG00000120952	PRAMEF2	1	12857084	12861911	GRCh38	GENCODE_v50_basic
ENSG00000243073	PRAMEF4	1	12879210	12886203	GRCh38	GENCODE_v50_basic
ENSG00000187545	PRAMEF10	1	12892248	12898272	GRCh38	GENCODE_v50_basic
ENSG00000204510	PRAMEF7	1	12916608	12920753	GRCh38	GENCODE_v50_basic
ENSG00000232423	PRAMEF6	1	12938470	12947582	GRCh38	GENCODE_v50_basic
ENSG00000274764	PRAMEF27	1	13049474	13056577	GRCh38	GENCODE_v50_basic
ENSG00000277058	HNRNPCL3	1	13060767	13062880	GRCh38	GENCODE_v50_basic
ENSG00000229571	PRAMEF25	1	13068675	13077886	GRCh38	GENCODE_v50_basic
ENSG00000275774	HNRNPCL2	1	13115486	13116856	GRCh38	GENCODE_v50_basic
ENSG00000280267	PRAMEF26	1	13148903	13158118	GRCh38	GENCODE_v50_basic
ENSG00000179412	HNRNPCL4	1	13163912	13165633	GRCh38	GENCODE_v50_basic
ENSG00000204505	PRAMEF9	1	13171846	13179461	GRCh38	GENCODE_v50_basic
ENSG00000279169	PRAMEF13	1	13196186	13201411	GRCh38	GENCODE_v50_basic
ENSG00000279804	PRAMEF18	1	13222693	13226156	GRCh38	GENCODE_v50_basic
ENSG00000270601	PRAMEF5	1	13254196	13263437	GRCh38	GENCODE_v50_basic
ENSG00000182330	PRAMEF8	1	13281302	13285139	GRCh38	GENCODE_v50_basic
ENSG00000237700	PRAMEF33	1	13303537	13308909	GRCh38	GENCODE_v50_basic
ENSG00000204501	PRAMEF15	1	13315579	13322600	GRCh38	GENCODE_v50_basic
ENSG00000204481	PRAMEF14	1	13341890	13347136	GRCh38	GENCODE_v50_basic
ENSG00000204480	PRAMEF19	1	13368429	13371949	GRCh38	GENCODE_v50_basic
ENSG00000204479	PRAMEF17	1	13389630	13392631	GRCh38	GENCODE_v50_basic
ENSG00000204478	PRAMEF20	1	13410448	13421330	GRCh38	GENCODE_v50_basic
ENSG00000162494	LRRC38	1	13474971	13514528	GRCh38	GENCODE_v50_basic
ENSG00000162493	PDPN	1	13583463	13617962	GRCh38	GENCODE_v50_basic
ENSG00000116731	PRDM2	1	13699987	13825095	GRCh38	GENCODE_v50_basic
ENSG00000189337	KAZN	1	13892790	15118045	GRCh38	GENCODE_v50_basic
ENSG00000171729	TMEM51	1	15152496	15220486	GRCh38	GENCODE_v50_basic
ENSG00000142621	FHAD1	1	15236519	15400285	GRCh38	GENCODE_v50_basic
ENSG00000142634	EFHD2	1	15409570	15430345	GRCh38	GENCODE_v50_basic
ENSG00000162438	CTRC	1	15438440	15449244	GRCh38	GENCODE_v50_basic
ENSG00000142615	CELA2A	1	15456726	15472095	GRCh38	GENCODE_v50_basic
ENSG00000215704	CELA2B	1	15465907	15491402	GRCh38	GENCODE_v50_basic
ENSG00000132906	CASP9	1	15489722	15526536	GRCh38	GENCODE_v50_basic
ENSG00000116138	DNAJC16	1	15526811	15592381	GRCh38	GENCODE_v50_basic
ENSG00000116771	AGMAT	1	15571697	15585086	GRCh38	GENCODE_v50_basic
ENSG00000197312	DDI2	1	15617414	15669046	GRCh38	GENCODE_v50_basic
ENSG00000215695	RSC1A1	1	15659711	15662035	GRCh38	GENCODE_v50_basic
ENSG00000116786	PLEKHM2	1	15681459	15734773	GRCh38	GENCODE_v50_basic
ENSG00000162461	SLC25A34	1	15736174	15741394	GRCh38	GENCODE_v50_basic
ENSG00000162460	TMEM82	1	15742486	15747984	GRCh38	GENCODE_v50_basic
ENSG00000162458	FBLIM1	1	15756602	15786596	GRCh38	GENCODE_v50_basic
ENSG00000233954	UQCRHL	1	15807167	15809350	GRCh38	GENCODE_v50_basic
ENSG00000065526	SPEN	1	15836093	15940458	GRCh38	GENCODE_v50_basic
ENSG00000116809	ZBTB17	1	15940146	15976134	GRCh38	GENCODE_v50_basic
ENSG00000183888	SRARP	1	16004227	16009384	GRCh38	GENCODE_v50_basic
ENSG00000173641	HSPB7	1	16014016	16020599	GRCh38	GENCODE_v50_basic
ENSG00000186510	CLCNKA	1	16018144	16034111	GRCh38	GENCODE_v50_basic
ENSG00000184908	CLCNKB	1	16040250	16057369	GRCh38	GENCODE_v50_basic
ENSG00000185519	FAM131C	1	16057767	16073666	GRCh38	GENCODE_v50_basic
ENSG00000142627	EPHA2	1	16124335	16156143	GRCh38	GENCODE_v50_basic
ENSG00000142632	ARHGEF19	1	16197852	16212895	GRCh38	GENCODE_v50_basic
ENSG00000132881	CPLANE2	1	16231690	16237216	GRCh38	GENCODE_v50_basic
ENSG00000037637	FBXO42	1	16246838	16352496	GRCh38	GENCODE_v50_basic
ENSG00000055070	SZRD1	1	16352573	16398149	GRCh38	GENCODE_v50_basic
ENSG00000187144	SPATA21	1	16387115	16437426	GRCh38	GENCODE_v50_basic
ENSG00000157191	NECAP2	1	16440662	16460094	GRCh38	GENCODE_v50_basic
ENSG00000219481	NBPF1	1	16562317	16613564	GRCh38	GENCODE_v50_basic
ENSG00000058453	CROCC	1	16740271	16972966	GRCh38	GENCODE_v50_basic
ENSG00000117122	MFAP2	1	16972931	16981618	GRCh38	GENCODE_v50_basic
ENSG00000159363	ATP13A2	1	16985956	17011988	GRCh38	GENCODE_v50_basic
ENSG00000288636	ENSG00000288636	1	17005066	17011759	GRCh38	GENCODE_v50_basic
ENSG00000117118	SDHB	1	17018662	17054212	GRCh38	GENCODE_v50_basic
ENSG00000117115	PADI2	1	17066759	17119461	GRCh38	GENCODE_v50_basic
ENSG00000142623	PADI1	1	17205118	17246009	GRCh38	GENCODE_v50_basic
ENSG00000142619	PADI3	1	17249091	17284235	GRCh38	GENCODE_v50_basic
ENSG00000159339	PADI4	1	17308193	17364006	GRCh38	GENCODE_v50_basic
ENSG00000276747	PADI6	1	17372194	17401701	GRCh38	GENCODE_v50_basic
ENSG00000179051	RCC2	1	17406753	17439994	GRCh38	GENCODE_v50_basic
ENSG00000074964	ARHGEF10L	1	17539366	17697878	GRCh38	GENCODE_v50_basic
ENSG00000117148	ACTL8	1	17755308	17827065	GRCh38	GENCODE_v50_basic
ENSG00000117154	IGSF21	1	18107488	18378485	GRCh38	GENCODE_v50_basic
ENSG00000179023	KLHDC7A	1	18480928	18485976	GRCh38	GENCODE_v50_basic
ENSG00000009709	PAX7	1	18630844	18748878	GRCh38	GENCODE_v50_basic
ENSG00000179002	TAS1R2	1	18839597	18859662	GRCh38	GENCODE_v50_basic
ENSG00000159423	ALDH4A1	1	18871423	18902801	GRCh38	GENCODE_v50_basic
ENSG00000169991	IFFO2	1	18904278	18956678	GRCh38	GENCODE_v50_basic
ENSG00000127481	UBR4	1	19074508	19210331	GRCh38	GENCODE_v50_basic
ENSG00000127463	EMC1	1	19215658	19251554	GRCh38	GENCODE_v50_basic
ENSG00000053372	MRTO4	1	19251553	19260130	GRCh38	GENCODE_v50_basic
ENSG00000211454	AKR7L	1	19265980	19274196	GRCh38	GENCODE_v50_basic
ENSG00000162482	AKR7A3	1	19281054	19288825	GRCh38	GENCODE_v50_basic
ENSG00000040487	SLC66A1	1	19288042	19332429	GRCh38	GENCODE_v50_basic
ENSG00000053371	AKR7A2	1	19291521	19312151	GRCh38	GENCODE_v50_basic
ENSG00000077549	CAPZB	1	19338773	19485652	GRCh38	GENCODE_v50_basic
ENSG00000173436	MICOS10	1	19484401	19629823	GRCh38	GENCODE_v50_basic
ENSG00000158747	NBL1	1	19596977	19659415	GRCh38	GENCODE_v50_basic
ENSG00000270136	MICOS10-NBL1	1	19597065	19656929	GRCh38	GENCODE_v50_basic
ENSG00000158748	HTR6	1	19664835	19680968	GRCh38	GENCODE_v50_basic
ENSG00000162542	TMCO4	1	19682205	19800502	GRCh38	GENCODE_v50_basic
ENSG00000178828	RNF186	1	19814027	19815285	GRCh38	GENCODE_v50_basic
ENSG00000169914	OTUD3	1	19882366	19912947	GRCh38	GENCODE_v50_basic
ENSG00000188784	PLA2G2E	1	19920007	19923619	GRCh38	GENCODE_v50_basic
ENSG00000188257	PLA2G2A	1	19975429	19980464	GRCh38	GENCODE_v50_basic
ENSG00000127472	PLA2G5	1	20028177	20091913	GRCh38	GENCODE_v50_basic
ENSG00000117215	PLA2G2D	1	20111937	20119568	GRCh38	GENCODE_v50_basic
ENSG00000158786	PLA2G2F	1	20139320	20150383	GRCh38	GENCODE_v50_basic
ENSG00000187980	PLA2G2C	1	20161251	20186526	GRCh38	GENCODE_v50_basic
ENSG00000162543	UBXN10	1	20183291	20196052	GRCh38	GENCODE_v50_basic
ENSG00000158816	VWA5B1	1	20290873	20359536	GRCh38	GENCODE_v50_basic
ENSG00000162545	CAMK2N1	1	20482389	20486272	GRCh38	GENCODE_v50_basic
ENSG00000090432	MUL1	1	20495720	20508165	GRCh38	GENCODE_v50_basic
ENSG00000183114	FAM43B	1	20552571	20555022	GRCh38	GENCODE_v50_basic
ENSG00000158825	CDA	1	20588896	20618915	GRCh38	GENCODE_v50_basic
ENSG00000158828	PINK1	1	20633434	20652233	GRCh38	GENCODE_v50_basic
ENSG00000244038	DDOST	1	20647465	20661546	GRCh38	GENCODE_v50_basic
ENSG00000117245	KIF17	1	20664009	20718020	GRCh38	GENCODE_v50_basic
ENSG00000189410	SH2D5	1	20719722	20732839	GRCh38	GENCODE_v50_basic
ENSG00000127483	HP1BP3	1	20738099	20787341	GRCh38	GENCODE_v50_basic
ENSG00000075151	EIF4G3	1	20805987	21177287	GRCh38	GENCODE_v50_basic
ENSG00000117298	ECE1	1	21217245	21345914	GRCh38	GENCODE_v50_basic
ENSG00000142794	NBPF3	1	21439851	21485007	GRCh38	GENCODE_v50_basic
ENSG00000162551	ALPL	1	21508811	21579443	GRCh38	GENCODE_v50_basic
ENSG00000289715	ENSG00000289715	1	21547402	21554004	GRCh38	GENCODE_v50_basic
ENSG00000076864	RAP1GAP	1	21596213	21669848	GRCh38	GENCODE_v50_basic
ENSG00000090686	USP48	1	21675519	21783620	GRCh38	GENCODE_v50_basic
ENSG00000187942	LDLRAD2	1	21812263	21825227	GRCh38	GENCODE_v50_basic
ENSG00000142798	HSPG2	1	21820591	21937320	GRCh38	GENCODE_v50_basic
ENSG00000219073	CELA3B	1	21977020	21998644	GRCh38	GENCODE_v50_basic
ENSG00000142789	CELA3A	1	22001655	22012544	GRCh38	GENCODE_v50_basic
ENSG00000289694	ENSG00000289694	1	22025140	22092945	GRCh38	GENCODE_v50_basic
ENSG00000070831	CDC42	1	22052625	22101362	GRCh38	GENCODE_v50_basic
ENSG00000162552	WNT4	1	22117311	22143971	GRCh38	GENCODE_v50_basic
ENSG00000184677	ZBTB40	1	22428836	22531159	GRCh38	GENCODE_v50_basic
ENSG00000070886	EPHA8	1	22563459	22603597	GRCh38	GENCODE_v50_basic
ENSG00000173372	C1QA	1	22635055	22640203	GRCh38	GENCODE_v50_basic
ENSG00000289692	ENSG00000289692	1	22636504	22644069	GRCh38	GENCODE_v50_basic
ENSG00000159189	C1QC	1	22642556	22648124	GRCh38	GENCODE_v50_basic
ENSG00000173369	C1QB	1	22652711	22661639	GRCh38	GENCODE_v50_basic
ENSG00000133216	EPHB2	1	22710796	22921502	GRCh38	GENCODE_v50_basic
ENSG00000215906	LACTBL1	1	22953041	22972868	GRCh38	GENCODE_v50_basic
ENSG00000227868	TEX46	1	23010831	23019102	GRCh38	GENCODE_v50_basic
ENSG00000004487	KDM1A	1	23019393	23083706	GRCh38	GENCODE_v50_basic
ENSG00000169641	LUZP1	1	23084028	23178154	GRCh38	GENCODE_v50_basic
ENSG00000293565	ENSG00000293565	1	23094324	23094378	GRCh38	GENCODE_v50_basic
ENSG00000179546	HTR1D	1	23190176	23217549	GRCh38	GENCODE_v50_basic
ENSG00000125944	HNRNPR	1	23303769	23344660	GRCh38	GENCODE_v50_basic
ENSG00000125945	ZNF436	1	23359446	23369962	GRCh38	GENCODE_v50_basic
ENSG00000204219	TCEA3	1	23370589	23425171	GRCh38	GENCODE_v50_basic
ENSG00000088280	ASAP3	1	23428558	23484639	GRCh38	GENCODE_v50_basic
ENSG00000007968	E2F2	1	23506421	23531243	GRCh38	GENCODE_v50_basic
ENSG00000117318	ID3	1	23557438	23560588	GRCh38	GENCODE_v50_basic
ENSG00000142676	RPL11	1	23691683	23698428	GRCh38	GENCODE_v50_basic
ENSG00000011007	ELOA	1	23743151	23762061	GRCh38	GENCODE_v50_basic
ENSG00000057757	PITHD1	1	23778363	23788234	GRCh38	GENCODE_v50_basic
ENSG00000011009	LYPLA2	1	23791108	23795547	GRCh38	GENCODE_v50_basic
ENSG00000117308	GALE	1	23795597	23800806	GRCh38	GENCODE_v50_basic
ENSG00000117305	HMGCL	1	23801875	23838622	GRCh38	GENCODE_v50_basic
ENSG00000179163	FUCA1	1	23845075	23868363	GRCh38	GENCODE_v50_basic
ENSG00000188822	CNR2	1	23870513	23913398	GRCh38	GENCODE_v50_basic
ENSG00000189266	PNRC2	1	23956837	23963778	GRCh38	GENCODE_v50_basic
ENSG00000188529	SRSF10	1	23962472	23980929	GRCh38	GENCODE_v50_basic
ENSG00000142661	MYOM3	1	24054820	24112192	GRCh38	GENCODE_v50_basic
ENSG00000142677	IL22RA1	1	24119767	24143303	GRCh38	GENCODE_v50_basic
ENSG00000185436	IFNLR1	1	24154166	24187961	GRCh38	GENCODE_v50_basic
ENSG00000158055	GRHL3	1	24199556	24364484	GRCh38	GENCODE_v50_basic
ENSG00000001460	STPG1	1	24355828	24416936	GRCh38	GENCODE_v50_basic
